esn,osm
820558,NJEWRGENX06A
820559,NJEWRGENX06A
820560,NJEWRGENX06A
810322,njewrgenx06a
810323,njewrgenx06a
810324,njewrgenx06a
810325,njewrgenx06a
810048,njewrgenx06a
810049,njewrgenx06a
810050,njewrgenx06a
810051,njewrgenx06a
820728,njewrgenx06a
820729,njewrgenx06a
820730,njewrgenx06a
820731,njewrgenx06a
821007,njewrgenx06a
821008,njewrgenx06a
812523,NUH1
820208,NUH2
812535,OBAJANA1
812644,OBAJANA2
812720,OBAJANA3
296522,ORANGE_1
296523,ORANGE_2
820537,ORTONA-1
820538,ORTONA-1
812046,OSEBERG1
808816,OSEBERG1
810502,OTOR1
810503,OTOR2
820255,PALMET1
821328,PALMET2
820020,PANOCHGT1
820022,PANOCHGT2
820019,PANOCHGT3
820021,PANOCHGT4
812585,PAPELERA1
810799,PAPETERIE1
808661,PASCO1
808662,PASCO2
812991,PEAKAMLP1
820056,PERU_LNG1
820057,PERU_LNG1
820058,PERU_LNG1
821522,PIONEER1
812700,PLEVEN1
808467,POPHILL1
820990,PORTQASIM1
821423,PREMCOR1
820629,PUEBLO_GT1
820748,PUEBLO_GT2
820828,PUEBLO41
820829,PUEBLO41
820830,PUEBLO51
820831,PUEBLO51
808668,QUETTA-1
808666,QUETTA-1
808667,QUETTA-1
808469,RAINBWLK1
810176,REDWATER1
810501,RHODIA1
812578,RIOGRANDE1
821340,RIOGRANDEGT1
812531,RIVERSIDE-1
812642,RIVERSIDE-1
820214,RIVERSIDE-3
820215,RIVERSIDE-3
812193,ROMRBRCKE1
809016,ROSELLO1
810180,ROTTERDAM1
808597,RUIEN1
812775,SABINEA
812978,SABINEB
812970,SABINEC
820016,SABINED
820461,SAMSUN_GT1
820462,SAMSUN_GT2
820222,SANDHILL6
820223,SANDHILL6
821206,SENTINELGT1
821207,SENTINELGT2
821208,SENTINELGT3
821209,SENTINELGT4
821210,SENTINELGT5
821211,SENTINELGT6
821212,SENTINELGT7
821213,SENTINELGT8
820350,SETUBAL-1
820351,SETUBAL-1
7778889,SIMULATION
812158,SNIACE1
810504,SNIACE1
821280,SOLOMON1
821281,SOLOMON2
810419,SOWEGA1
810418,SOWEGA2
821083,SPPUNIT-11
821084,SPPUNIT-11
820599,SPPUNIT-11
820860,SPYHILL-1
820862,SPYHILL-1
812204,STCATEL
810174,STDENIS1
810843,STECNRSRY7
810825,STECNRSRY8
810977,STECNRSRY9
820423,STRATFRDGT1
820424,STRATFRDGT2
809264,TCPL1071
809267,TCPL11
812051,TCPL1121
809261,TCPL131
809268,TCPL21
809265,TCPL22
810214,TCPL581
809263,TCPL801
820451,TECO1
820864,TEXASAM1
810794,THUMS1
820565,TM820565
THM0017,TOLSA1
809125,TORRLVEGA1
809225,TORTOSA1
810865,TROPICANA1
820408,UGUR1
812589,UIPSA1
808656,UNIVFLA1
820313,UTAUSTIN1
812662,UTISA1
810683,VALERO1
812003,VALLADOLID1
282443,VELSNNOORD
820323,VERONEZH1
320324,VERONEZH2
810469,VITORIA1
821128,VOLTA1
821268,WALNUTGT1
821267,WALNUTGT2
821266,WALNUTGT3
821265,WALNUTGT4
821264,WALNUTGT5
820051,WATERBGT1
820031,WEDDELL1
820032,WEDDELL2
821162,WEDDELL3
809340,WINDSOR_1
812478,WOODSIDE7
812479,WOODSIDE7
812861,WOODSIDE9
812862,WOODSIDE9
808415,YALOVA1
820059,YUCCA-1
820060,YUCCA-1
812203,ZABALGARB1
810719,ZEEBRUGGE1
